Timestamp,Server,Host,Ping,App_Port,Admin_Port,HTTP,Status
2025-08-21 16:39:30,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 23.3}","{'success': True, 'port': 8080, 'response_time': 8.2, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 28.6, 'status': 'OPEN'}",200 (0.06s),ONLINE
2025-08-21 16:39:31,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 22.7}","{'success': True, 'port': 80, 'response_time': 20.0, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 4.2, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:39:31,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 24.9}","{'success': True, 'port': 8080, 'response_time': 14.5, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.9, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:39:31,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 23.7}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 4.7, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:40:03,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 21.8}","{'success': True, 'port': 8080, 'response_time': 3.4, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 5.5, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:40:03,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 31.6}","{'success': True, 'port': 80, 'response_time': 26.1, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 7.5, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:40:03,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 34.8}","{'success': True, 'port': 8080, 'response_time': 4.5, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.0, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:40:03,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 46.9}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 1.8, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:40:35,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 22.6}","{'success': True, 'port': 8080, 'response_time': 2.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 22.4, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:40:36,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 23.2}","{'success': True, 'port': 80, 'response_time': 14.0, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 6.0, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:40:36,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 21.5}","{'success': True, 'port': 8080, 'response_time': 1.8, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 20.0, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:40:36,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 30.5}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 1.9, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:41:08,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 25.8}","{'success': True, 'port': 8080, 'response_time': 2.7, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 5.1, 'status': 'OPEN'}",200 (0.05s),ONLINE
2025-08-21 16:41:08,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 40.8}","{'success': True, 'port': 80, 'response_time': 5.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 7.0, 'status': 'OPEN'}",Timeout,HTTP_ERROR
2025-08-21 16:41:18,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 45.5}","{'success': True, 'port': 8080, 'response_time': 2.9, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.4, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:41:19,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 42.6}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 31.1, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:41:51,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 39.3}","{'success': True, 'port': 8080, 'response_time': 14.1, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.0, 'status': 'OPEN'}",200 (0.05s),ONLINE
2025-08-21 16:41:51,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 26.0}","{'success': True, 'port': 80, 'response_time': 2.6, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.1, 'status': 'OPEN'}",200 (0.17s),ONLINE
2025-08-21 16:41:51,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 22.0}","{'success': True, 'port': 8080, 'response_time': 2.9, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.0, 'status': 'OPEN'}",200 (0.10s),ONLINE
2025-08-21 16:41:51,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 129.5}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 32.4, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:42:23,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 48.1}","{'success': True, 'port': 8080, 'response_time': 9.2, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 20.7, 'status': 'OPEN'}",200 (0.04s),ONLINE
